Generation,Points Pirates,Steps Pirates,Ray Radius Pirates,Sight Pirates,Moving Speed Pirates, Box Weight Pirates, Boat Weight Pirates
43,0.1,22,8,28.04922,2.392011,32.11495,-9.199869
44,0.1,22,8,28.04922,2.392011,32.79136,-9.199869
45,0.1,22,8,28.04922,2.392011,33.46778,-9.199869
46,0.1,22,8,28.04922,2.392011,34.14419,-9.199869
47,0.1,22,8,28.04922,2.392011,34.82061,-9.199869
48,0.1,22,8,28.04922,2.392011,35.49702,-9.199869
49,0.1,22,8,28.04922,2.392011,36.17344,-9.199869
50,0.1,22,8,28.04922,2.392011,36.84985,-9.199869
51,0.1,22,8,28.04922,2.392011,37.52626,-9.199869
52,0.1,22,8,28.04922,2.392011,38.20268,-9.199869
53,0.1,22,8,28.04922,2.392011,38.87909,-9.199869
54,0.1,22,8,28.04922,2.392011,39.55551,-9.199869
55,0.1,22,8,28.04922,2.392011,40.23192,-9.199869
56,0.1,22,8,28.04922,2.392011,40.90834,-9.199869
57,0.1,22,8,28.04922,2.392011,41.58475,-9.199869
58,0.1,22,8,28.04922,2.392011,42.26117,-9.199869
59,0.1,22,8,28.04922,2.392011,42.93758,-9.199869
60,0.1,22,8,28.04922,2.392011,43.61399,-9.199869
61,0.1,22,8,28.04922,2.392011,44.29041,-9.199869
62,0.1,22,8,28.04922,2.392011,44.96682,-9.199869
63,0.1,22,8,28.04922,2.392011,45.64324,-9.199869
64,0.1,22,8,28.04922,2.392011,46.31965,-9.199869
65,0.1,22,8,28.04922,2.392011,46.99607,-9.199869
66,0.1,22,8,28.04922,2.392011,47.67248,-9.199869
67,0.1,22,8,28.04922,2.392011,48.3489,-9.199869
68,0.1,22,8,28.04922,2.392011,49.02531,-9.199869
69,0.1,22,8,28.04922,2.392011,49.70173,-9.199869
70,0.1,22,8,28.04922,2.392011,50.37814,-9.199869
71,0.1,22,8,28.04922,2.392011,51.05455,-9.199869
72,0.1,22,8,28.04922,2.392011,51.73097,-9.199869
73,0.1,22,8,28.04922,2.392011,52.40738,-9.199869
74,0.1,22,8,28.04922,2.392011,53.0838,-9.199869
75,0.1,22,8,28.04922,2.392011,53.76021,-9.199869
76,0.1,22,8,28.04922,2.392011,54.43663,-9.199869
77,0.1,22,8,28.04922,2.392011,55.11304,-9.199869
78,0.1,22,8,28.04922,2.392011,55.78946,-9.199869
79,0.1,22,8,28.04922,2.392011,56.46587,-9.199869
80,0.1,22,8,28.04922,2.392011,57.14228,-9.199869
81,0.1,22,8,28.04922,2.392011,57.8187,-9.199869
82,0.1,22,8,28.04922,2.392011,58.49511,-9.199869
83,0.1,22,8,28.04922,2.392011,59.17153,-9.199869
84,0.1,22,8,28.04922,2.392011,59.84794,-9.199869
85,0.1,22,8,28.04922,2.392011,60.52436,-9.199869
86,0.1,22,8,28.04922,2.392011,61.20077,-9.199869
87,0.1,22,8,28.04922,2.392011,61.87719,-9.199869
88,0.1,22,8,28.04922,2.392011,62.5536,-9.199869
89,0.1,22,8,28.04922,2.392011,63.23001,-9.199869
90,0.1,22,8,28.04922,2.392011,63.90643,-9.199869
91,0.1,22,8,28.04922,2.392011,64.58284,-9.199869
92,0.1,22,8,28.04922,2.392011,65.25925,-9.199869
93,5,22,8,28.04922,2.392011,67.59135,-9.199869
94,0.1,22,8,28.04922,2.392011,68.26777,-9.199869
95,5.1,22,8,28.04922,2.392011,68.94418,-9.199869
96,5,21,8,29.76987,3.121856,65.93567,-9.199869
97,5,21,6,31.2362,2.152183,69.38526,-12.62478
98,0.1,21,6,31.2362,2.152183,70.06168,-12.62478
99,5,20,8,33.60711,2.882028,66.61208,-9.199869
Generation,Points Normal Boat,Steps Normal Boat,Ray Radius Normal Boat,Sight Normal Boat,Moving Speed Normal Boat, Box Weight Normal Boat, Boat Weight Normal Boat
0,2,24,16,30,5,3.808406,0
1,4,22,16,29.76609,6.871282,1,0
2,4,22,16,29.76609,6.871282,1,0
3,2,24,15,27.32021,7.667997,3.808406,0
4,4,22,16,29.76609,6.871282,1,0
5,4,24,16,27.00336,10.20283,4.144785,-3.291813
6,4,22,16,29.12002,6.730872,1,0
7,4,20,16,31.91325,6.730872,-1.387648,0.2988949
8,4,22,16,28.47395,6.590463,1,0
9,4,20,16,31.26718,6.590463,-1.387648,0.2988949
10,2,22,15,27.24963,11.53472,2.601955,-3.291813
11,4,22,13,29.12002,6.730872,1,-1.474287
12,4,22,16,23.49811,8.726311,2.601955,-3.291813
13,2,20,11,29.6275,7.597875,1.98911,-2.356976
14,2,20,8,29.6275,7.597875,1.98911,-3.831264
15,4,22,16,22.85204,8.585901,2.601955,-3.291813
16,4,22,16,23.25777,7.594205,8.682714,0.3949785
17,4,22,16,23.01743,9.516932,8.682714,0.3949785
18,4,20,16,25.50432,7.453795,5.524714,0.3949785
19,4,24,16,20.51537,6.392387,8.682714,-1.781824
20,4,20,16,27.75087,7.313386,5.524714,0.3949785
21,2,22,16,20.27503,6.787697,8.565094,0.06157207
22,4,24,16,25.4142,6.647288,11.72309,0.06157207
23,4,24,16,25.17386,8.570016,11.72309,0.06157207
24,2,26,16,25.32409,7.368198,11.72309,-2.11523
25,4,26,16,25.32409,7.368198,11.72309,-2.11523
26,4,28,16,25.23397,8.089108,11.72309,-4.292032
27,4,26,16,25.23397,6.561691,11.60547,-2.448637
28,4,22,16,21.61943,10.49274,9.335447,0.360467
29,4,28,16,24.43122,10.40715,14.76348,-2.448637
30,4,30,16,24.66318,9.600638,17.80386,-2.782043
31,4,30,16,24.58144,9.205328,14.76348,-4.625439
32,4,30,16,24.3411,11.12806,14.76348,-4.625439
33,4,30,16,24.10076,13.05078,14.76348,-4.625439
34,4,30,16,24.10076,13.05078,14.76348,-4.625439
35,6,30,16,23.77869,13.05078,14.76348,-4.625439
36,6,30,16,23.53835,14.97351,14.76348,-4.625439
37,4,30,16,20.88607,13.05078,14.76348,-4.625439
38,4,30,16,23.86042,14.97351,14.76348,-4.625439
39,4,32,16,23.77031,14.167,17.80386,-4.958845
40,6,32,16,23.12616,14.167,17.80386,-4.958845
41,6,32,16,25.51944,15.88818,16.37865,-6.802241
42,6,30,16,26.01686,14.02659,14.64585,-4.958845
43,6,32,16,22.30475,15.88818,16.37865,-6.802241
44,6,32,16,25.72823,12.69049,19.41903,-4.958845
45,6,32,16,22.83561,12.69049,19.41903,-4.958845
46,6,34,16,19.96616,15.08167,19.41903,-7.135647
47,6,32,16,25.2141,16.34463,20.84424,-3.115449
48,4,32,16,22.64355,16.34463,20.84424,-3.115449
49,6,32,16,25.77651,14.4219,20.84424,-3.115449
50,6,32,16,22.64355,16.34463,20.84424,-3.115449
51,6,30,16,22.56182,14.4219,17.68624,-3.115449
52,6,32,16,21.84079,20.19009,20.84424,-3.115449
53,6,28,16,25.13237,14.4219,14.52823,-3.115449
54,4,34,16,21.99102,18.98827,20.84424,-5.292252
55,6,27,10,25.13237,14.4219,14.52823,-4.589737
56,6,32,16,19.42047,18.98827,17.68624,-5.292252
57,4,30,16,19.42047,18.98827,14.52823,-5.292252
58,6,28,14,25.13237,14.4219,14.52823,-4.589737
59,4,30,16,18.93979,22.83372,14.52823,-5.292252
60,4,34,16,18.13218,18.98827,20.84424,-5.292252
61,2,30,15,14.25379,23.7194,14.52823,-5.292252
62,2,30,12,14.25379,23.7194,14.52823,-6.766539
63,4,26,16,18.93979,22.83372,8.212233,-5.292252
64,4,26,16,18.93979,22.83372,8.212233,-5.292252
65,4,26,16,21.18634,22.69331,8.212233,-5.292252
