Generation,Points,Steps,Ray Radius,Sight,Moving Speed,Box Weight,Weight
159,6,20,5,1.716105,58.25252,14.70123,-28.54936
160,6,19,1,0.1,57.70372,10.92114,-31.30723
161,6,20,6,1.924889,56.58225,11.30693,-28.61071
162,8,18,3,4.872825,58.94611,8.80414,-33.15063
163,4,18,3,4.2884,56.04858,11.94208,-34.89737
164,8,19,2,0.1,61.04426,6.285565,-31.36858
165,6,21,2,0.1,60.0949,6.285565,-33.54539
166,6,21,2,0.1,60.0949,2.951987,-33.54539
167,6,16,3,3.364244,55.07377,12.69237,-36.34521
168,10,15,2,0.1,62.71453,-3.364015,-31.36858
169,4,16,5,3.364244,55.07377,15.6646,-34.617
170,6,16,4,2.411398,55.12362,14.5283,-38.1533
171,4,16,6,2.411398,55.12362,17.50054,-36.42509
172,6,16,6,2.411398,55.12362,14.16696,-36.42509
173,6,16,8,2.411398,55.12362,20.47277,-34.69688
174,4,16,4,3.886592,62.55448,15.6646,-35.45449
175,6,16,4,3.886592,62.55448,12.33102,-35.45449
176,6,16,4,3.886592,62.55448,8.997446,-35.45449
177,2,12,6,4.691395,52.11969,8.232271,-36.37125
178,4,12,6,4.10697,49.22217,11.37021,-38.11799
179,8,11,1,0.1,60.25006,7.919102,-36.3099
180,8,13,1,2.379997,56.85083,12.69227,-36.3099
181,4,14,6,1.852873,65.36288,10.14205,-33.78764
182,6,12,3,4.148817,58.96731,11.9198,-36.01101
183,6,12,1,4.891266,55.90645,11.9198,-37.21846
184,6,13,1,4.013922,53.70649,17.34783,-34.46651
185,8,13,1,9.186541,52.22998,18.963,-34.88525
186,4,13,3,9.186541,52.22998,21.93523,-33.15705
187,4,11,1,9.186541,52.22998,12.47142,-34.88525
188,6,11,1,8.602116,49.33245,15.60935,-36.63199
189,6,8,1,4.148817,58.96731,7.459795,-36.07236
190,4,8,2,3.940032,60.63758,6.157793,-36.13371
191,6,8,2,3.355608,57.74006,9.29573,-37.88045
192,2,8,4,3.355608,57.74006,12.26797,-36.15224
193,10,8,2,3.331269,63.98027,9.198174,-34.29032
194,6,6,6,3.355608,57.74006,12.0822,-34.42404
195,6,6,6,2.771183,54.84253,15.22014,-36.17078
196,4,6,1,8.032214,59.10452,11.34287,-34.34882
197,4,8,2,3.241156,63.17376,5.746975,-34.62373
198,4,8,4,3.241156,63.17376,8.719211,-32.89552
199,6,10,4,5.521152,61.69725,7.916143,-34.74643
200,4,8,8,2.072306,58.90612,21.23275,-34.77598
201,10,7,3,0.1983063,62.84816,9.341352,-30.72623
202,4,7,2,2.478303,61.37165,12.25853,-30.66488
203,6,7,2,2.237962,63.29437,12.25853,-30.66488
204,10,7,2,2.029178,64.96465,12.25853,-30.66488
205,6,7,2,2.029178,64.96465,8.924948,-30.66488
206,6,8,4,2.628531,60.16983,4.464945,-33.74053
207,6,8,4,2.070604,63.83812,2.077297,-34.78094
208,8,6,6,2.628531,60.16983,4.27918,-32.01232
209,10,8,4,2.179405,65.29025,-0.6677403,-35.58392
210,6,8,4,4.699743,61.89101,0.9474308,-36.00267
211,4,8,4,4.115319,58.99348,4.085367,-37.74941
212,6,8,4,6.737509,63.42088,0.9474308,-36.00267
213,6,7,2,6.946293,61.7506,-0.3545711,-36.06402
214,8,8,7,6.737509,63.42088,2.617665,-34.33582
215,6,10,4,6.243555,60.995,2.562602,-38.59822
216,6,7,4,6.737509,63.42088,-0.7159131,-34.33582
217,6,7,6,6.737509,63.42088,2.256323,-32.60761
218,6,7,8,6.737509,63.42088,5.228559,-30.8794
219,4,8,4,4.659994,65.93021,2.562602,-36.42142
220,4,8,6,4.659994,65.93021,5.534838,-34.69321
221,4,8,8,4.659994,65.93021,8.507073,-32.965
222,6,7,3,4.659994,65.93021,2.20126,-34.69321
223,4,8,6,6.939991,64.4537,3.816431,-34.69321
224,6,4,5,4.859954,68.28207,-10.66705,-36.51262
